"db","group_type","group_level","method","events_trt","events_ctl","sparse_lt20","hospital_eligibility","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","teachingstatus","Non-teaching","psm",235,221,FALSE,TRUE,1008,0.233134920634921,0.219246031746032,1.08260699045376,0.878541213507216,1.33407275351428,0.456372701275448,0.013888888888889,-0.0226496088955576,0.0504273866733356,0.456341420295635
"EICU","teachingstatus","Non-teaching","dr",235,221,FALSE,TRUE,1008,0.233134920634921,0.219246031746032,1.21875864680673,0.980107171965139,1.51552063045101,0.0751933814731959,0.0312365789617863,-0.00500679349431002,0.0674799514178827,0.0913288532495217
"EICU","teachingstatus","Teaching","psm",219,201,FALSE,TRUE,879,0.249146757679181,0.228668941979522,1.11926729986551,0.898651055313085,1.39404419673416,0.314438297883359,0.0204778156996586,-0.0194000961763925,0.0603557275757097,0.314321007456672
"EICU","teachingstatus","Teaching","dr",219,201,FALSE,TRUE,879,0.249146757679181,0.228668941979522,1.25888209372304,0.997990674910325,1.58797488367203,0.0520131598448913,0.0360503792951324,-0.00314396264452861,0.0752447212347935,0.0715946814302829
"EICU","numbedscategory","<100","psm",1,1,TRUE,FALSE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","numbedscategory","<100","dr",1,1,TRUE,FALSE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","numbedscategory",">= 500","psm",235,212,FALSE,TRUE,993,0.236656596173212,0.2134944612286,1.1421255040592,0.924910306847174,1.41035369307223,0.216929820833413,0.0231621349446122,-0.0135781073812711,0.0599023772704956,0.216737971788194
"EICU","numbedscategory",">= 500","dr",235,212,FALSE,TRUE,993,0.236656596173212,0.2134944612286,1.24888686003027,1.00126981177105,1.5577403521209,0.0486946736282764,0.0349603263469327,-0.00156374359553862,0.071484396289404,0.0607906896465961
"EICU","numbedscategory","100 - 249","psm",73,65,FALSE,TRUE,301,0.242524916943522,0.215946843853821,1.16248313090624,0.794000322370567,1.70197289795418,0.438895847962522,0.026578073089701,-0.0406569156983153,0.0938130618777172,0.438768747751541
"EICU","numbedscategory","100 - 249","dr",73,65,FALSE,TRUE,301,0.242524916943522,0.215946843853821,1.44262307664404,0.95147290452391,2.18730489472768,0.0843932033024598,0.0497097081958114,-0.015368779054686,0.114788195446309,0.134888523606924
"EICU","numbedscategory","250 - 499","psm",82,85,FALSE,TRUE,294,0.27891156462585,0.289115646258503,0.951054384018283,0.664096351479288,1.36200784621929,0.784180385962557,-0.010204081632653,-0.0832223312047471,0.062814167939441,0.7842548172232
"EICU","numbedscategory","250 - 499","dr",82,85,FALSE,TRUE,294,0.27891156462585,0.289115646258503,1.20288443647689,0.826257049809416,1.75118743961347,0.335039649995877,0.0339963475577489,-0.037489828695052,0.10548252381055,0.35166718382624
"EICU","numbedscategory","Unknown","psm",63,59,FALSE,TRUE,298,0.211409395973154,0.197986577181208,1.08597187161975,0.728820235825463,1.61814237308271,0.685226461617026,0.0134228187919464,-0.0514638654260446,0.0783095030099373,0.68528801599022
"EICU","numbedscategory","Unknown","dr",63,59,FALSE,TRUE,298,0.211409395973154,0.197986577181208,1.12198266972532,0.738844168274374,1.70380327167512,0.58920132692096,0.017041879547443,-0.048555045348289,0.0826388044431751,0.610801038046223
"EICU","region","Midwest","psm",137,136,FALSE,TRUE,612,0.223856209150327,0.222222222222222,1.00947368421065,0.771090744247597,1.32155278313989,0.945303098262248,0.00163398692810453,-0.045046974476008,0.0483149483322171,0.94531411992364
"EICU","region","Midwest","dr",137,136,FALSE,TRUE,612,0.223856209150327,0.222222222222222,1.03931206481287,0.78455753455405,1.37678821564002,0.788109253940241,0.0016247423272541,-0.0443373905969175,0.0475868752514257,0.944773989449435
"EICU","region","Northeast","psm",67,43,FALSE,TRUE,260,0.257692307692308,0.165384615384615,1.75189781901961,1.13949792761144,2.69341952619348,0.0106162691358945,0.0923076923076923,0.0224177099970716,0.162197674618313,0.00990506311465776
"EICU","region","Northeast","dr",67,43,FALSE,TRUE,260,0.257692307692308,0.165384615384615,2.29495738985006,1.3452009254293,3.9152734150451,0.0023030231820083,0.115296747174716,0.0390302237834301,0.191563270566002,0.00318720061525546
"EICU","region","South","psm",126,143,FALSE,TRUE,518,0.243243243243243,0.276061776061776,0.84290709290738,0.638029020941535,1.1135737465752,0.229034485705069,-0.0328185328185327,-0.0862301206908539,0.0205930550537884,0.228743824923365
"EICU","region","South","dr",126,143,FALSE,TRUE,518,0.243243243243243,0.276061776061776,1.03490225856434,0.772599978091055,1.38625772088147,0.81805854287781,0.00515972629974442,-0.0474405351878037,0.0577599877872926,0.847574403453116
"EICU","region","Unknown","psm",10,14,TRUE,FALSE,62,0.161290322580645,0.225806451612903,0.65934065933956,0.265737973014436,1.63593520386606,0.368991900985898,-0.064516129032258,-0.204261551857335,0.0752292937928189,0.367317064332337
"EICU","region","Unknown","dr",10,14,TRUE,FALSE,62,0.161290322580645,0.225806451612903,1.14779545698239,0.382040545884247,3.44841516237539,0.805995480276679,0.0143319818979818,-0.130714873852025,0.159378837647989,0.846770181180829
"EICU","region","West","psm",114,86,FALSE,TRUE,435,0.262068965517241,0.197701149425287,1.44120843295339,1.04788217592087,1.98217108272755,0.0245996586402621,0.0643678160919539,0.00854841834771676,0.120187213836191,0.0240582168510392
"EICU","region","West","dr",114,86,FALSE,TRUE,435,0.262068965517241,0.197701149425287,1.59825745047863,1.14505752833501,2.23082842110539,0.00584818096548747,0.0785576725259664,0.0226514654545643,0.134463879597368,0.00600843543681806
